"KEGG_Id","Name","Description","Class"
"map00260","Glycine, serine and threonine metabolism","Serine is derived from 3-phospho-D-glycerate, an intermediate of glycolysis [MD:M00020], and glycine is derived from serine. Threonine is an essential amino acid, which animals cannot synthesize. In bacteria and plants, threonine is derived from aspartate [MD:M00018].","Metabolism; Amino acid metabolism"
"map00261","Monobactam biosynthesis","Monobactams are beta-lactam antibiotics containing a monocyclic beta-lactam nucleus, which is structurally different from penicillin and cephalosporin core structures with another fused ring. This diagram shows biosynthesis of nocardicin A, a naturally occurring monobactam, via the pentapeptide formed by condensation of L-4-hydroxyphenylglycine (L-pHPG), L-arginine and L-serine [MD:M00736]. Other naturally occurring monobactams are also shown but the biosynthetic pathway is not yet fully characterized. Sulfazecin and other 3-aminomonobactamic acid derivatives are derived from serine or threonine, and tabtoxinine-beta-lactam is a phytotoxin. Aztreonam, a synthetic monobactam originally isolated as SQ 26,180 from Chromobacterium violaceum, is the first clinically used monobactam.","Metabolism; Biosynthesis of other secondary metabolites"
"map00270","Cysteine and methionine metabolism","Cysteine and methionine are sulfur-containing amino acids. Cysteine is synthesized from serine through different pathways in different organism groups. In bacteria and plants, cysteine is converted from serine (via acetylserine) by transfer of hydrogen sulfide [MD:M00021]. In animals, methionine-derived homocysteine is used as sulfur source and its condensation product with serine (cystathionine) is converted to cysteine [MD:M00338]. Cysteine is metabolized to pyruvate in multiple routes. Methionine is an essential amino acid, which animals cannot synthesize. In bacteria and plants, methionine is synthesized from aspartate [MD:M00017]. S-Adenosylmethionine (SAM), synthesized from methionine and ATP, is a methyl group donor in many important transfer reactions including DNA methylation for regulation of gene expression. SAM may also be used to regenerate methionine in the methionine salvage pathway [MD:M00034].","Metabolism; Amino acid metabolism"
"map00280",nothing,nothing,"Metabolism; Amino acid metabolism"
"map00281",nothing,nothing,"Metabolism; Metabolism of terpenoids and polyketides"
"map00290",nothing,nothing,"Metabolism; Amino acid metabolism"
"map00300",nothing,nothing,"Metabolism; Amino acid metabolism"
"map00310",nothing,nothing,"Metabolism; Amino acid metabolism"
"map00311","Penicillin and cephalosporin biosynthesis","Penicillins (Penams) and cephalosporins (cephems) are beta-lactam antibiotics containing 6-aminopenicillanate (6-APA) and 7-aminocephalosporanate (7-ACA) nuclei, respectively. 6-APA and 7-ACA are key intermediates for a variety of semisynthetic penicillin and cephalosporin derivatives. Penicillins are produced only by fungi, while cephalosporins (including cephamycins) are produced by fungi and bacteria. Both antibiotics are synthesized from L-2-aminoadipate, L-cysteine and L-valine through a common pathway. It starts with the condensation of these three amino acids by the non-ribosomal peptide synthetase to form the tripeptide delta-(L-2-aminoadipyl)-L-cysteinyl-D-valine (ACV). The linear ACV tripeptide is then converted to bicyclic isopenicillin N by isopenicillin N synthase, in which the beta-lactam ring is formed. Isopenicillin N is the branch point of penicillin [MD:M00672] and cephalosporin [MD:M00673] pathways.","Metabolism; Biosynthesis of other secondary metabolites"
"map00330",nothing,nothing,"Metabolism; Amino acid metabolism"
"map00331",nothing,nothing,"Metabolism; Biosynthesis of other secondary metabolites"
"map00332","Carbapenem biosynthesis","Carbapenems are broad-spectrum beta-lactam antibiotics, which are often considered as the antibiotics of last resort. A naturally occurring carbapenem, thienamycin, was first discovered in Streptomyces cattleya. This diagram shows how a simple carbapenem, carbapenem-3-carboxylate, is synthesized from malonyl-CoA and pyrroline-5-carboxylate [MD:M00675]. For structurally complex carbapenems, such as thienamycin, olivanic acid, epi-thienamycin and carbapenems of the OA-6129 group, uncertainty remains about the mechanism and timing for the inversion of the C-5 carbapenam bridgehead, the desaturation of the C-2/C-3 bond and the attachment of the C-2 and C-6 side chains.","Metabolism; Biosynthesis of other secondary metabolites"
"map00333","Prodigiosin biosynthesis","Prodiginines are red-pigmented natural antibiotics that are produced as secondary metabolites and have received renewed attention because of potential clinical interests. In Serratia sp. or actinomycetes such as Streptomyces coelicolor, the tripyrrole molecules of prodigiosin and undecylprodigiosin are formed by the condensation of 4-methoxy-2,2'-bipyrrole-5-carbaldehyde and either 2-methyl-3-n-amyl-pyrrole [MD:M00837] or 2-undecylpyrrole [MD:M00838]. The Serratia pig gene cluster and the Streptomyces red gene cluster responsible for these biosynthesis pathways have been identified.","Metabolism; Biosynthesis of other secondary metabolites"
"map00340",nothing,nothing,"Metabolism; Amino acid metabolism"
"map00350",nothing,nothing,"Metabolism; Amino acid metabolism"
"map00360",nothing,nothing,"Metabolism; Amino acid metabolism"
"map00361",nothing,nothing,"Metabolism; Xenobiotics biodegradation and metabolism"
"map00362",nothing,nothing,"Metabolism; Xenobiotics biodegradation and metabolism"
"map00363",nothing,nothing,"Metabolism; Xenobiotics biodegradation and metabolism"
"map00364",nothing,nothing,"Metabolism; Xenobiotics biodegradation and metabolism"
"map00365",nothing,nothing,"Metabolism; Xenobiotics biodegradation and metabolism"
"map00380",nothing,nothing,"Metabolism; Amino acid metabolism"
"map00400",nothing,nothing,"Metabolism; Amino acid metabolism"
"map00401",nothing,nothing,"Metabolism; Biosynthesis of other secondary metabolites"
"map00402","Benzoxazinoid biosynthesis","Benzoxazinoids (hydroxamic acids) are plant secondary metabolites that serve as important factors for host resistance against microbial pathogens and insects and for allelopathic effects. They are found in grass family and some eudicot families. The predominant benzoxazinoids are DIBOA and its 7-methoxy derivative DIMBOA, which are stored as glucosides in vacuoles. In maize, benzoxazinoid biosynthesis branches off from tryptophan biosynthesis at indole-3-glycerol phosphate, which is converted to indole by indole-3-glycerol phosphate lyase, BX1. Subsequently four cytochrome P450 monooxygenases (BX2-BX5) catalyze the introduction of four oxygen atoms into the indole moiety, yielding DIBOA. After glucosylation by UDP-glucosyltransferase (BX8/BX9), the glucoside is further modified by hydroxylation and O-methylation at C-7 to form DIMBOA-glucoside.","Metabolism; Biosynthesis of other secondary metabolites"
"map00403","Indole diterpene alkaloid biosynthesis","Indole diterpene alkaloids are a group of meroterpenoids consisting of a partial diterpene structure with four isoprene units and an indole moiety. The common cyclic diterpene skeleton is derived from geranylgeranyl diphosphate (GGPP) and an indole moiety is derived from tryptophan or a tryptophan precursor. They are combined in the initial step of biosynthetic reactions that generate paspaline, the first stable and less modified form required for other forms. Most indole diterpene alkaloids have potent mammalian tremorgenic activities, such as ryegrass staggers in livestock, and some have anti-insect properties. This map shows examples of indole diterpene alkaloids isolated from filamentous fungi.","Metabolism; Biosynthesis of other secondary metabolites"
"map00404",nothing,nothing,"Metabolism; Biosynthesis of other secondary metabolites"
"map00405",nothing,nothing,"Metabolism; Biosynthesis of other secondary metabolites"
"map00410",nothing,nothing,"Metabolism; Metabolism of other amino acids"
"map00430",nothing,nothing,"Metabolism; Metabolism of other amino acids"
"map00440","Phosphonate and phosphinate metabolism","Natural products containing carbon-phosphorous bonds, so-called C-P compounds, are derivatives of phosphonate and phosphinate with substitution of alkyl group for hydrogen of phosphorus-hydrogen bonds. C-P compounds have been found in many organisms, but only protists and bacteria, mostly Actinobacteria, have biosynthetic capacity. A common reaction in the biosynthetic pathway is C-P bond forming reaction from phosphoenolpyruvate (PEP) to phosphonopyruvate (PnPy) catalyzed by PEP phosphomutase. 2-Aminoethylphosphonate (AEP) is the most abundant C-P compound in the natural world. AEP derivatives include phosphonoprotein, phosphonoglycan, and phosphonolipid. Other known C-P compounds are bioactive substances used in medicine (antibiotics) and agriculture (herbicide) such as fosfomycin, FR-33289, rhizocticin, and bialaphos.","Metabolism; Metabolism of other amino acids"
"map00450",nothing,nothing,"Metabolism; Metabolism of other amino acids"
"map00460",nothing,nothing,"Metabolism; Metabolism of other amino acids"
"map00470",nothing,nothing,"Metabolism; Metabolism of other amino acids"
"map00480",nothing,nothing,"Metabolism; Metabolism of other amino acids"
"map00500",nothing,nothing,"Metabolism; Carbohydrate metabolism"
"map00510","N-Glycan biosynthesis","N-glycans or asparagine-linked glycans are major constituents of glycoproteins in eukaryotes. N-glycans are covalently attached to asparagine with the consensus sequence of Asn-X-Ser/Thr by an N-glycosidic bond, GlcNAc b1- Asn. Biosynthesis of N-glycans begins on the cytoplasmic face of the ER membrane with the transferase reaction of UDP-GlcNAc and the lipid-like precursor P-Dol (dolichol phosphate) to generate GlcNAc a1- PP-Dol. After sequential addition of monosaccharides by ALG glycosyltransferases [MD:M00055], the N-glycan precursor is attached by the OST (oligosaccharyltransferase) complex to the polypeptide chain that is being synthesized and translocated through the ER membrane. The protein-bound N-glycan precursor is subsequently trimmed, extended, and modified in the ER and Golgi by a complex series of reactions catalyzed by membrane-bound glycosidases and glycosyltransferases. N-glycans thus synthesized are classified into three types: high-mannose type, complex type, and hybrid type. Defects in N-glycan biosynthesis lead to a variety of human diseases known as congenital disorders of glycosylation [DS:H00118 H00119].","Metabolism; Glycan biosynthesis and metabolism"
"map00511",nothing,nothing,"Metabolism; Glycan biosynthesis and metabolism"
"map00512","Mucin type O-glycan biosynthesis","O-glycans are a class of glycans that modify serine or threonine residues of proteins. Biosynthesis of O-glycans starts from the transfer of N-acetylgalactosamine (GalNAc) to serine or threonine. The first GalNAc may be extended with sugars including galactose, N-acetylglucosamine, fucose, or sialic acid, but not mannose, glucose, or xylose. Depending on the sugars added, there are four common O-glycan core structures, cores 1 through 4, and an additional four, cores 5 though 8. Mucins are highly O-glycosylated glycoproteins ubiquitous in mucous secretions on cell surfaces and in body fluids. Mucin O-glycans can be branched, and many sugars or groups of sugars are antigenic. Important modifications of mucin O-glycans include O-acetylation of sialic acid and O-sulfation of galactose and N-acetylglucosamine.","Metabolism; Glycan biosynthesis and metabolism"
"map00513",nothing,nothing,"Metabolism; Glycan biosynthesis and metabolism"
"map00514","Other types of O-glycan biosynthesis","O-linked glycosylation is the attachment of monosaccharides to the hydroxyl groups of amino acids, mostly serine and threonine, and is found in eukaryotes, archaea and bacteria. O-glycans exhibit diverse types of modifications where the innermost monosaccharide is N-acetylgalactosamine (map00512), mannose in mammals (map00515), and others (this map) including N-acetylglucosamine, fucose, glucose, galactose, mannose in yeast and arabinose in plants.","Metabolism; Glycan biosynthesis and metabolism"
"map00515","Mannose type O-glycan biosynthesis","Biosynthesis of mammalian O-mannosyl glycans is initiated by the transfer of mannose from mannose-P-Dol to serine or threonine residue, followed by extensions with N-acetylglucosamine (GlcNAc) and galactose (Gal) to generate core M1, M2 and M3 glycans. Core M1 and M2 glycans can then be further attached by fucose residues, sialic acid terminals and sulfatded glucuroinc acid terminals. Core M3 glycan is involved in the synthesis of alpha-dystroglycan, a heavily glycosylated protein found in muscle and brain tissues. Core M3 glycan contains a tandem repeat of ribitol 5-phosphate (Rbo5P) and -alpha3-GlcA-beta3-Xyl- repeating structures. Defects of genes encoding core glycans and modified core M3 glycans are associated with various congenital diseases, such as muscular dystrophies caused by reduced O-mannosylation of alpha-dystroglycan in skeletal muscles [DS:H00120].","Metabolism; Glycan biosynthesis and metabolism"
"map00520",nothing,nothing,"Metabolism; Carbohydrate metabolism"
"map00521","Streptomycin biosynthesis","Streptomycin is an aminocyclitol-aminoglycoside antibiotic produced by Streptomyces griseus. Streptomycin consists of aminocyclitol (streptidine), 6-deoxyhexose (streptose), and N-methyl-L-glucosamine moieties, which are formed by independent biosynthetic pathways. All of the moieties are derived from D-glucose. The streptidine moiety is synthesized via myo-inositol, which is then oxidized at C-1 and transaminated to give scyllo-inosamine. After phosphorylation, the compound is transamidinated by arginine. The same procedure is repeated at the C-3 position. The streptose moiety is made from D-glucose via a dTDP-glucose pathway. The exact biosynthetic route for the N-methyl-L-glucosamine moiety is unknown, though the biosynthetic gene cluster have been proposed.","Metabolism; Biosynthesis of other secondary metabolites"
"map00522",nothing,nothing,"Metabolism; Metabolism of terpenoids and polyketides"
"map00523",nothing,nothing,"Metabolism; Metabolism of terpenoids and polyketides"
"map00524",nothing,nothing,"Metabolism; Biosynthesis of other secondary metabolites"
"map00525",nothing,nothing,"Metabolism; Biosynthesis of other secondary metabolites"
"map00531",nothing,nothing,"Metabolism; Glycan biosynthesis and metabolism"
"map00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate","Glycosaminoglycans (GAGs) are linear polysaccharide chains consisting of repeating disaccharide units and form proteglycans by covalently attaching to their core proteins. Chondroitin sulfate (CS) is a glycosaminoglycan with the disaccharide unit of beta-D-galactosamine (GalNAc) and beta-D-glucuronic acid (GlcA), and often modified with ester-linked sulfate at certain positions. Dermatan sulfate (DS) is a modified form of CS, in which a portion of D-glucuronate residues is epimerized to L-iduronates (IdoA). CS and DS are linked to serine residues in core proteins via a linkage tetrasaccharide formed by the transfer of xylose and three more residues [MD:M00057]. The assembly process of CS is initiated by transferring GalNAc residue to the linkage tetrasaccharide. The polymerization is catalyzed by bifunctional enzymes (chondroitin synthases) possessing both beta 1,3 glucuronosyltransferase and beta 1,4 N-acetylgalactosaminyltransferase activities [MD:M00058]. Chondroitin polymerization also requires the action of the chondroitin polymerizing factor. There are various O-sulfation patterns in CS and DS, where 4-O sulfation and 6-O sulfation of GalNAc and 2-O-sulfation of the uronic acids (GlcA / IdoA) are mainly found.","Metabolism; Glycan biosynthesis and metabolism"
"map00533","Glycosaminoglycan biosynthesis - keratan sulfate","Keratan sulfate (KS) is a glycosaminoglycan with the basic disaccharide unit of N-acetyllactosamine, Gal(b1-4)GlcNAc(b1-3), with sulfate esters at C-6 of GlcNAc and Gal residues. There are two types of KS distinguished by the protein linkage: type I for N-linked via the N-glycan core structure and type II for O-linked via the O-glycan core 2 structure.","Metabolism; Glycan biosynthesis and metabolism"
"map00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin","Heparan sulfate (HS) and heparin (Hep) are glycosaminoglycans with repeating disaccharide units that consist of alternating residues of alpha-D-glucosamine (GlcN) and uronic acid, the latter being either beta-D-glucuronic acid (GlcA) or alpha-L-iduronic acid (IdoA). In these sugar residues, sulfation modification may be performed at various positions. Structural studies show that Hep possesses a higher degree of sulfation than HS. The biosynthesis of HS/Hep occurs with the addition of the first GlcNAc residue by EXTL3 glycosyltransferase after completion of tetrasaccharide linkage region attached to serine residue of a core protein. The chain polymeraization is then catalyzed by EXT1 and EXT2 transferases. As the chain polymerizes, HS/Hep undergoes a series of modification reactions including N-deacetylation, N-sulfation, epimerization, and subsequently O-sulfation. As final products of biosynthesis, HS is present in the form of hepran sulfate proteoglycan (HSPG) whereas Hep exists as a sugar chain without a core protein. The proteoglycan families with HS, as well as CS (chondroitin sulfate), DS (dermatan sulfate), and KS (keratan sulfate), are composed of two main types depending on the subcellular locations: cell membrane and extracellular matrix [BR:ko00535]. HS/Hep has been shown to bind to a variety of molecules, such as growth factors, chemokines, morphogens, and extracellular matrix components [BR:ko00536].","Metabolism; Glycan biosynthesis and metabolism"
"map00540","Lipopolysaccharide biosynthesis","Lipopolysaccharide (LPS) is the major component of the outer membrane of Gram-negative bacteria consisting of three domains: a hydrophobic anchor called lipid A, a non-repeating core oligosaccharide (OS) and a repetitive glycan polymer called O-antigen or O-polysaccharide (O-PS). The enzymes for the biosynthesis of lipid A are well conserved among Gram-negative bacterial species [MD:M00060 M00866]. The core OS connecting lipid A with O-antigen is divided into inner and outer parts. Five core types, K-12 and R1-R4, are identified in Escherichia coli, with the common inner part composed of Kdo (ketodeoxyoctulosonic acid) and Hep (heptose) residues and the outer part made of various sugar residues. O-antigen is the most variable part used for serotyping of pathogenic Escherichia coli, where about 170 types are known. All three domains are involved in toxicity, pathogenicity, antimicrobial resistance and other activities.","Metabolism; Glycan biosynthesis and metabolism"
"map00541","O-Antigen nucleotide sugar biosynthesis","The O-antigen is a repetitive glycan polymer with a repeat unit of two to six sugar residues, and comprises the outermost and immunogenic domain of the lipopolysaccharide (map00540). Most of the sugar residues are derived from nucleotide sugars and the genes for their biosynthesis seem to be well conserved among Gram-negative bacterial species. They include UDP-sugars synthesized from Glc-1P via UDP-Glc or from GlcNAc-1P via UDP-GlcNAc, GDP-sugars synthesized from Fru-6P via GDP-Man, and dTDP-sugars and CDP-sugars synthesized from Glc-1P via dTDP-Glc and CDP-Glc, respectively. CMP-sugars are also synthesized from UDP-GlcNAc. The O-antigen nucleotide sugar biosynthesis genes often form gene clusters with glycosyltransferase genes and other processing genes such as for translocation and polymerization.","Metabolism; Glycan biosynthesis and metabolism"
"map00542","O-Antigen repeat unit biosynthesis","O-antigen is a repetitive glycan polymer synthesized as the most variable part in the lipopolysaccharide (LPS) biosynthesis (map00541). Structural diversity of O-antigen repeat units results from genetic diversity as summarized here for completely sequenced Escherichia coli genomes, many of which are for pathogenic strains.","Metabolism; Glycan biosynthesis and metabolism"
"map00550","Peptidoglycan biosynthesis","Peptidoglycan is a macromolecule made of long aminosugar strands cross-linked by short peptides. It forms the cell wall in bacteria surrounding the cytoplasmic membrane. The glycan strands are typically comprised of repeating N-acetylglucosamine (GlcNAc) and N-acetylmuramic acid (MurNAc) disaccharides. Each MurNAc is linked to a peptide of three to five amino acid residues. Disaccharide subunits are first assembled on the cytoplasmic side of the bacterial membrane on a polyisoprenoid anchor (lipid I and II). Polymerization of disaccharide subunits by transglycosylases and cross-linking of glycan strands by transpeptidases occur on the other side of the membrane. Bacterial cell wall biosynthesis inhibitors form a major class of antibiotics.","Metabolism; Glycan biosynthesis and metabolism"
"map00552",nothing,nothing,"Metabolism; Glycan biosynthesis and metabolism"
"map00561",nothing,nothing,"Metabolism; Lipid metabolism"
"map00562",nothing,nothing,"Metabolism; Carbohydrate metabolism"
"map00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","Cell surface proteins can be attached to the cell membrane via the glycolipid structure called glycosylphosphatidylinositol (GPI) anchor. Hundreds of GPI-anchored proteins have been identified in many eukaryotes ranging from protozoa and fungi to mammals. All protein-linked GPI anchors share a common core structure, characterized by the substructure Man (a1-4) GlcN (a1-6) myo-inositol-1P-lipid. Biosynthesis of GPI anchors proceeds in three stages: (i) preassembly of a GPI precursor in the ER membrane, (ii) attachment of the GPI to the C-terminus of a newly synthesized protein in the lumen of the ER, and (iii) lipid remodeling and/or carbohydrate side-chain modifications in the ER and the Golgi. Defects of GPI anchor biosynthesis gene result in a genetic disorder, paroxysmal nocturnal hemoglobinuria.","Metabolism; Glycan biosynthesis and metabolism"
"map00564",nothing,nothing,"Metabolism; Lipid metabolism"
"map00565",nothing,nothing,"Metabolism; Lipid metabolism"
"map00571","Lipoarabinomannan (LAM) biosynthesis","Lipoarabinomannan (LAM), as well as structurally related lipomannan (LM) and phosphatidylinositol mannosides (PIMs), are major glycolipids found on the mycobacterial cell wall. LAM is synthesized from phosphatidylinositol (PI) and in a biochemical pathway of PI => PIMs => LM =>LAM. Structually, LAM and LM are an extension of PIMs containing an alpha1,6-linked mannan core with alpha1,2-monomannose side chains. The mannan core of LAM is in turn arabinosylated by a linear alpha1,5-linked Araf backbone, punctutated by alpha1,3-linked branching. LAM can be substituted by several capping motifs, which determine the ability of LAM to modulate the immune response through the interaction with different receptors containing C-type lectins (map04625). It has been shown that the immunomodulatory properties of LAM and related glycolipids contribute to the survival of Mycobacteriaum tuberculosis, the causative agent of tuberculosis (map05152).","Metabolism; Glycan biosynthesis and metabolism"
"map00572","Arabinogalactan biosynthesis - Mycobacterium","Just like lipoarabinomannan (map00571), arabinogalactan (AG) is a major heteropolysaccharide found on the mycobacterium cell wall. AG consists of a linear galactan chain of galactofuranosyl (Galf) residues covalently connected to peptidoglycan (PG), with branches of three similar arabinan chains comprising arabinofuranosyl (Araf) residues. The non-reducing ends of arabinans are often covalently attached to the long fatty acids of mycolic acids. Thus, the covalently linked network of PG and mycolylated AG, termed the mycolyl-arabinogalactan-peptidoglycan (mAGP) complex, forms an exceptionally robust cell wall and provides a permeability barrier to antibiotics.","Metabolism; Glycan biosynthesis and metabolism"
"map00590",nothing,nothing,"Metabolism; Lipid metabolism"
"map00591",nothing,nothing,"Metabolism; Lipid metabolism"
"map00592",nothing,nothing,"Metabolism; Lipid metabolism"
"map00600",nothing,nothing,"Metabolism; Lipid metabolism"
"map00601",nothing,nothing,"Metabolism; Glycan biosynthesis and metabolism"
"map00603",nothing,nothing,"Metabolism; Glycan biosynthesis and metabolism"
"map00604",nothing,nothing,"Metabolism; Glycan biosynthesis and metabolism"
"map00620",nothing,nothing,"Metabolism; Carbohydrate metabolism"
