ensembl_gene_id,percentage_gene_gc_content,external_gene_name,entrezgene_id
ENSG00000262469,44.12,Y_RNA,
ENSG00000262826,48.32,INTS3,65123
ENSG00000277570,56.23,LILRP1,
ENSG00000276306,54.23,AC245128.8,
ENSG00000275442,44.33,LILRP2,79166
ENSG00000274696,48.06,KIR3DL3,115653
ENSG00000276307,56.23,LILRP1,
ENSG00000273918,54.23,AC245128.4,
ENSG00000273883,44.33,LILRP2,79166
ENSG00000274339,56.23,LILRP1,
ENSG00000276808,54.23,AC245128.10,
ENSG00000274861,44.33,LILRP2,79166
ENSG00000274763,48.99,KIR3DL3,115653
ENSG00000276099,51.68,LILRP1,
ENSG00000273502,48.84,KIR3DL3,115653
ENSG00000274120,44.33,LILRP2,79166
ENSG00000275172,48.98,KIR3DL3,115653
ENSG00000274788,40.09,LILRP2,79166
ENSG00000274480,48.88,KIR3DL3,115653
ENSG00000277484,48.04,KIR2DL3,3804
ENSG00000276806,48.98,KIR3DL3,115653
ENSG00000278325,56.23,LILRP1,
ENSG00000275112,56.23,LILRP1,
ENSG00000276974,54.23,AC245128.11,
ENSG00000274130,54.23,AC245128.7,
ENSG00000274271,56.23,LILRP1,
ENSG00000278788,62.60,SBNO2,22904
ENSG00000275433,48.22,KIR3DL3,115653
ENSG00000274891,48.00,TRAPPC12,51112
ENSG00000274826,44.33,LILRP2,79166
ENSG00000277267,44.33,LILRP2,79166
ENSG00000276247,44.33,LILRP2,79166
ENSG00000275623,48.23,KIR2DL3,3804
ENSG00000273947,48.02,KIR2DL3,3804
ENSG00000278614,49.17,KIR2DP1,
ENSG00000278339,49.08,KIR2DP1,
ENSG00000276433,48.87,KIR3DL3,115653
ENSG00000278821,48.32,KIR2DL1,3802
ENSG00000277620,48.97,KIR3DL3,115653
ENSG00000276930,49.00,KIR3DL3,115653
ENSG00000276218,48.06,KIR2DL3,3804
ENSG00000277240,56.23,LILRP1,
ENSG00000276425,48.25,GU182359.4,
ENSG00000276324,54.23,AC245128.9,
ENSG00000273510,48.28,KIR2DL1,3802
ENSG00000277963,44.33,LILRP2,79166
ENSG00000273578,48.25,GU182359.1,
ENSG00000274912,49.20,KIR2DP1,
ENSG00000277921,56.23,LILRP1,
ENSG00000274009,54.23,AC245128.5,
ENSG00000275513,48.95,KIR3DL3,115653
ENSG00000274842,44.33,LILRP2,79166
ENSG00000276310,48.42,KIR2DL1,3802
ENSG00000276212,45.40,KIR3DP1,
ENSG00000274556,49.00,KIR3DL3,115653
ENSG00000273881,56.23,LILRP1,
ENSG00000280770,41.80,AC216281.1,
ENSG00000277940,54.23,AC245128.14,
ENSG00000263130,45.28,AL513523.7,
ENSG00000281723,44.96,AC114810.2,
ENSG00000275289,44.33,LILRP2,79166
ENSG00000275452,47.77,KIR2DS2,100132285
ENSG00000263275,45.64,AL513523.8,
ENSG00000277355,48.10,KIR2DL4,3805
ENSG00000280830,45.50,ADI1,55256
ENSG00000269823,54.13,AL513523.9,
ENSG00000276328,49.00,KIR3DL3,115653
ENSG00000263163,59.39,SLC27A3,11000
ENSG00000277596,47.39,GU182343.4,
ENSG00000278327,48.03,KIR2DL3,3804
ENSG00000278369,48.13,KIR2DL3,3804
ENSG00000275815,49.12,KIR2DP1,
ENSG00000276625,48.40,KIR2DL1,3802
ENSG00000277392,48.99,KIR3DL3,115653
ENSG00000274545,56.23,LILRP1,
ENSG00000277552,48.95,KIR3DL3,115653
ENSG00000278360,54.23,AC245128.15,
ENSG00000278288,44.16,LILRP2,79166
ENSG00000278490,49.04,KIR3DL3,115653
ENSG00000278152,47.78,AL133414.6,
ENSG00000274518,48.19,GU182357.2,
ENSG00000278731,48.11,GU182357.5,
ENSG00000274438,48.10,GU182351.1,
ENSG00000277317,48.17,KIR2DL3,3804
ENSG00000274707,49.15,GU182343.2,
ENSG00000278414,49.31,GU182357.4,
ENSG00000275914,48.16,GU182351.4,
ENSG00000273522,49.11,KIR2DP1,
ENSG00000277630,36.73,BX072566.1,100288966
ENSG00000274243,48.91,GU182357.1,
ENSG00000277070,51.25,LILRP1,
ENSG00000275436,49.41,GU182351.3,
ENSG00000273755,44.25,LILRP2,79166
ENSG00000278755,48.41,KIR2DL1,3802
ENSG00000277028,48.97,KIR3DL3,115653
ENSG00000276013,49.18,GU182357.3,
ENSG00000278051,48.76,KIR3DP1,
ENSG00000274830,48.08,KIR2DL3,3804
ENSG00000277362,47.92,KIR2DL4,3805
ENSG00000274851,49.13,KIR2DP1,
ENSG00000277616,48.31,KIR2DL1,3802
ENSG00000264450,40.46,AC004231.2,
ENSG00000274724,49.01,KIR3DL3,115653
ENSG00000263243,43.25,KRT12,3859
ENSG00000274782,48.40,KIR2DL1,3802
ENSG00000273955,49.24,KIR2DP1,
ENSG00000277554,48.08,KIR2DL3,3804
ENSG00000273794,48.34,KIR2DL1,3802
ENSG00000274942,48.90,KIR2DP1,
ENSG00000277560,48.73,KIR3DP1,
ENSG00000275276,48.43,KIR2DL1,3802
ENSG00000276779,47.93,KIR2DL4,3805
ENSG00000263057,40.47,KRT20,54474
ENSG00000274108,48.04,KIR2DL3,3804
ENSG00000275593,44.03,KIR3DP1,
ENSG00000278329,49.12,KIR2DP1,
ENSG00000277885,48.15,KIR2DS2,100132285
ENSG00000278430,47.98,KIR2DL4,3805
ENSG00000277356,48.41,KIR2DL1,3802
ENSG00000276011,48.15,KIR2DL2,3803
ENSG00000276001,56.23,LILRP1,
ENSG00000274082,54.23,AC245128.6,
ENSG00000277657,48.72,GU182351.7,
ENSG00000274945,48.07,KIR2DL4,3805
ENSG00000276243,44.31,LILRP2,79166
ENSG00000262487,41.12,AC037482.1,
ENSG00000263309,41.60,KRT23,25984
ENSG00000275937,49.41,KIR2DL5B,553128
ENSG00000277185,49.14,GU182351.6,
ENSG00000276139,48.19,GU182349.2,
ENSG00000273688,49.29,KIR3DP1,
ENSG00000274563,48.96,GU182343.1,
ENSG00000278207,48.38,KIR2DL1,3802
ENSG00000274955,47.96,KIR2DL4,3805
ENSG00000278306,48.77,KIR2DS3,3808
ENSG00000274786,48.94,KIR3DL3,115653
ENSG00000275059,49.15,GU182343.3,
ENSG00000275795,49.17,GU182339.2,
ENSG00000275080,48.44,KIR2DL1,3802
ENSG00000262710,43.14,Y_RNA,
ENSG00000276820,48.50,KIR2DL1,3802
ENSG00000262299,57.45,AL513523.6,343052
ENSG00000277742,48.99,KIR3DP1,
ENSG00000261992,44.67,GATAD2B,57459
ENSG00000277835,43.85,KIR3DP1,
ENSG00000275699,48.04,KIR2DL4,3805
ENSG00000273887,48.01,KIR2DL3,3804
ENSG00000275732,48.10,KIR2DL4,3805
ENSG00000278793,43.93,U6,
ENSG00000278833,43.90,GU182360.1,
ENSG00000277375,49.24,KIR2DP1,
ENSG00000275546,48.12,GU182349.1,
ENSG00000277850,47.97,KIR2DL4,3805
ENSG00000276258,48.17,GU182345.3,
ENSG00000278495,48.33,KIR2DL1,3802
ENSG00000275407,48.15,GU182345.1,
ENSG00000275946,49.33,GU182345.2,
ENSG00000276676,48.88,GU182345.4,
ENSG00000275422,48.82,GU182351.2,
ENSG00000277376,49.16,KIR2DP1,
ENSG00000275848,47.92,KIR2DL4,3805
ENSG00000278805,48.43,KIR2DL1,3802
ENSG00000275751,43.89,KIR3DP1,
ENSG00000274163,49.26,KIR3DP1,
ENSG00000277176,44.02,KIR3DP1,
ENSG00000278074,48.01,KIR2DL4,3805
ENSG00000262025,49.20,AL513523.5,
ENSG00000277750,47.88,KIR2DL4,3805
ENSG00000277725,48.21,KIR2DL2,3803
ENSG00000274189,48.08,KIR2DL4,3805
ENSG00000274610,45.37,KIR3DP1,
ENSG00000275237,48.05,KIR2DL4,3805
ENSG00000276590,48.13,KIR2DL3,3804
ENSG00000273661,48.17,AL133414.2,
ENSG00000273775,48.42,KIR3DL1,3811
ENSG00000275659,46.51,KIR3DL1,3811
ENSG00000276518,45.38,KIR3DP1,
ENSG00000276970,49.12,GU182358.1,
ENSG00000274193,48.10,KIR2DL4,3805
ENSG00000275750,48.44,KIR2DL1,3802
ENSG00000276498,48.43,GU182359.5,
ENSG00000278079,48.48,KIR3DL1,3811
ENSG00000278786,43.87,KIR3DP1,
ENSG00000275887,45.39,KIR3DP1,
ENSG00000273575,48.05,KIR2DL4,3805
ENSG00000281250,44.90,LINC02054,105374250
ENSG00000281738,47.31,LINC01839,
ENSG00000277076,47.97,KIR2DL4,3805
ENSG00000276501,48.46,KIR3DL1,3811
ENSG00000278345,51.15,GU182343.5,
ENSG00000276044,48.05,KIR2DL4,3805
ENSG00000262164,42.38,KRT39,390792
ENSG00000276329,48.46,KIR3DL1,3811
ENSG00000276423,48.44,KIR3DL1,3811
ENSG00000276035,48.73,KIR3DP1,
ENSG00000274920,48.51,KIR3DL1,3811
ENSG00000277964,47.86,KIR2DL4,3805
ENSG00000262845,41.71,KRT40,125115
ENSG00000277691,43.90,GU182338.1,
ENSG00000278368,48.51,KIR3DL1,3811
ENSG00000275317,47.85,KIR2DL4,3805
ENSG00000273518,48.43,KIR3DL1,3811
ENSG00000278625,35.85,U6,
ENSG00000275288,48.51,KIR3DL1,3811
ENSG00000263101,48.58,KRTAP3-3,85293
ENSG00000263296,48.86,KRTAP3-2,83897
ENSG00000274948,48.46,KIR3DL1,3811
ENSG00000274465,48.43,KIR3DS1,3813
ENSG00000262616,57.14,KRTAP3-4P,
ENSG00000262068,39.70,KRTAP3-1,83896
ENSG00000273990,46.91,RNVU1-26,
ENSG00000273757,51.52,RNVU1-2A,6063
ENSG00000274574,53.66,U1,
ENSG00000276379,54.23,KIR3DL1,3811
ENSG00000281416,46.89,AC006359.4,
ENSG00000275717,48.47,KIR3DL1,3811
ENSG00000261862,48.94,KRTAP1-5,83895
ENSG00000280708,58.18,AC006359.3,
ENSG00000263242,64.22,KRTAP1-4,728255
ENSG00000275974,47.12,PPIAL4F,728945
ENSG00000262347,52.88,KRTAP1-3,81850
ENSG00000280579,35.06,AC006359.2,
ENSG00000262808,52.49,KRTAP1-1,81851
ENSG00000276197,75.56,AL592188.2,
ENSG00000274917,57.52,RNA5-8SN5,100008587
ENSG00000273937,75.56,AL592188.1,
ENSG00000261852,62.63,KRTAP2-1,81872
ENSG00000274324,49.13,KIR2DS4,3809
ENSG00000273730,57.52,5_8S_rRNA,
ENSG00000280460,36.78,AC006359.1,
ENSG00000262731,63.90,AC037482.2,728279
ENSG00000276392,49.16,GU182359.3,
ENSG00000262862,55.43,KRTAP2-3,730755
ENSG00000277193,48.77,GU182359.6,
ENSG00000263091,57.20,KRTAP2-4,85294
ENSG00000275421,48.34,GU182359.2,
ENSG00000274714,49.08,KIR2DS4,3809
ENSG00000262376,58.84,KRTAP2-5P,
ENSG00000266286,55.32,AC037482.3,100996750
ENSG00000278758,47.10,KIR3DL2,3812
ENSG00000261968,52.98,KRTAP4-8,728224
ENSG00000274722,47.05,KIR3DL2,3812
ENSG00000262520,63.14,KRTAP4-16,
ENSG00000262121,55.06,KRTAP4-9,100132386
ENSG00000277272,48.43,KIR3DL1,3811
ENSG00000277175,48.48,KIR3DL1,3811
ENSG00000263229,52.80,KRTAP4-11,653240
ENSG00000277345,49.15,KIR2DS4,3809
ENSG00000263236,55.25,KRTAP4-12,83755
ENSG00000276424,47.13,KIR3DL2,3812
ENSG00000277078,48.94,KIR2DS4,3809
ENSG00000278474,47.10,KIR3DL2,3812
ENSG00000276534,48.41,AL133414.4,
ENSG00000275938,48.99,KIR2DS4,3809
ENSG00000278726,47.04,KIR3DL2,3812
ENSG00000277551,42.99,U6,
ENSG00000276395,48.64,KIR2DS4,3809
ENSG00000278850,47.07,KIR3DL2,3812
ENSG00000261958,48.15,OR9G1,390174
ENSG00000262191,47.93,OR9G9,504191
ENSG00000281683,52.38,AP001803.2,
ENSG00000262268,47.71,OR9G3P,
ENSG00000262647,45.18,OR9G4,283189
ENSG00000281777,45.45,OR9G2P,
ENSG00000281313,45.03,OR5G1P,
ENSG00000281279,43.16,OR5G4P,
ENSG00000274807,48.98,KIR2DS4,3809
ENSG00000262535,36.37,OR5G5P,
ENSG00000275321,37.22,AC010329.3,
ENSG00000280030,46.35,AC010329.4,
ENSG00000273526,48.96,KIR2DS4,3809
ENSG00000281107,41.56,OR5G3,
ENSG00000281839,37.53,LINC02735,101927120
ENSG00000278116,49.16,KIR2DL5A,57292
ENSG00000275416,47.07,KIR3DL2,3812
ENSG00000276999,34.05,AC226770.1,
ENSG00000280066,53.80,MTDHP4,
ENSG00000275050,38.41,ZNF66,7617
ENSG00000275500,48.78,GU182339.1,102725023
ENSG00000279280,52.24,CCNYL6,641367
ENSG00000276004,47.14,KIR3DL2,3812
ENSG00000280218,41.28,VN1R84P,
ENSG00000276327,48.30,KIR2DS1,3806
ENSG00000274746,38.52,ZNF100,163227
ENSG00000280428,38.06,BNIP3P24,
ENSG00000274676,49.32,AL133414.3,
ENSG00000276882,47.09,KIR3DL2,3812
ENSG00000274449,38.07,AC008463.2,
ENSG00000274106,40.35,AC008463.1,
ENSG00000274708,42.99,U6,
ENSG00000274146,48.52,KIR3DL1,3811
ENSG00000273752,42.99,U6,
ENSG00000275269,47.88,FCAR,2204
ENSG00000279112,43.42,BRI3BPP1,641367
ENSG00000280271,41.52,AC092364.3,
ENSG00000279614,51.34,AC092364.2,
ENSG00000279566,34.85,ZNF43,7594
ENSG00000281935,47.07,DNAH10,196385
ENSG00000276465,49.13,KIR2DS4,3809
ENSG00000278091,37.87,ZNF85,7639
ENSG00000275786,48.46,KIR3DL1,3811
ENSG00000276552,42.99,U6,
ENSG00000282650,46.71,MEIOB,254528
ENSG00000278710,47.08,KIR3DL2,3812
ENSG00000276254,48.64,GU182351.5,
ENSG00000282469,45.32,LINC00254,64735
ENSG00000282069,48.79,LINC02124,105371048
ENSG00000276333,64.06,HS3ST6,64711
ENSG00000273929,42.99,U6,
ENSG00000277650,48.87,AL133414.5,
ENSG00000273517,48.35,AL133414.1,
ENSG00000274406,49.12,KIR2DS4,3809
ENSG00000263090,51.54,KRTAP9-2,83899
ENSG00000273735,48.88,KIR3DL2,3812
ENSG00000262749,49.90,KRTAP9-3,83900
ENSG00000267208,62.15,AC209539.1,
ENSG00000262512,50.57,KRTAP9-4,85280
ENSG00000267728,50.15,KRTAP9-9,81870
ENSG00000275262,47.14,KIR3DL2,3812
ENSG00000278190,42.99,U6,
ENSG00000267635,62.86,AC209539.2,100507608
ENSG00000263103,61.35,KRTAP9-10P,
ENSG00000273670,56.23,LILRP1,
ENSG00000262218,52.05,KRTAP29-1,100533177
ENSG00000277456,54.23,AC245128.13,
ENSG00000281486,44.83,SNTG2,54221
ENSG00000273528,44.33,LILRP2,79166
ENSG00000281020,42.30,SNTG2,54221
ENSG00000276777,41.80,ARMC4P1,
ENSG00000278036,41.12,U6,
ENSG00000275336,34.60,AL355493.2,
ENSG00000273501,42.06,U6,
ENSG00000273681,56.10,FAM210CP,
ENSG00000278364,46.67,TRIAP1P1,
ENSG00000276595,38.72,PTCHD3,374308
ENSG00000276084,49.00,KIR3DL3,115653
ENSG00000281232,54.43,AC108489.1,
ENSG00000279318,44.35,AC008739.4,
ENSG00000277603,48.27,TPO,7173
ENSG00000276274,39.05,RNU6-1266P,
ENSG00000277976,45.69,KRT18P40,
ENSG00000282534,57.27,IMPDH1P5,
ENSG00000279974,39.61,AC008739.6,
ENSG00000282233,47.11,AL450306.2,
ENSG00000278780,40.92,ZNF430,80264
ENSG00000274429,50.00,DLG5,9231
ENSG00000262214,59.59,KRTAP9-12P,
ENSG00000262573,51.64,KRTAP9-2,83899
ENSG00000262896,50.47,KRTAP9-4,85280
ENSG00000262594,49.64,KRTAP9-9,81870
ENSG00000278140,42.99,U6,
ENSG00000274957,48.99,KIR2DS4,3809
ENSG00000274947,49.08,KIR2DS4,3809
ENSG00000263263,50.27,KRTAP9-6,100507608
ENSG00000275051,42.77,PIWIL1,9271
ENSG00000262946,61.71,KRTAP9-11P,
ENSG00000273738,47.46,FCAR,2204
ENSG00000278442,47.08,KIR3DL2,3812
ENSG00000275021,42.99,U6,
ENSG00000262221,51.40,KRTAP9-7,100505724
ENSG00000282429,36.99,AC208322.1,
ENSG00000263115,61.35,KRTAP9-10P,
ENSG00000278361,47.07,KIR3DL2,3812
ENSG00000262542,52.05,KRTAP29-1,100533177
ENSG00000275035,50.40,CCDC92,80212
ENSG00000280559,41.52,AC106795.6,
ENSG00000275353,48.99,KIR2DS4,3809
ENSG00000278666,45.83,AC106795.4,
ENSG00000281157,44.32,ARHGEF26-AS1,100507524
ENSG00000278809,47.00,KIR3DL2,3812
ENSG00000277101,38.95,ARHGEF26,26084
ENSG00000274597,42.99,U6,
ENSG00000276985,47.88,FCAR,2204
ENSG00000277567,42.99,U6,
ENSG00000274402,48.08,KIR2DL3,3804
ENSG00000278573,43.73,AC007325.3,
ENSG00000281942,59.04,AC068473.6,
ENSG00000276017,60.52,AC007325.1,
ENSG00000278817,57.94,AC007325.4,102724770
ENSG00000274476,49.15,KIR2DP1,
ENSG00000277196,58.96,AC007325.2,102724788
ENSG00000276858,47.88,FCAR,2204
ENSG00000281995,57.16,AC215996.1,
ENSG00000277153,42.99,RNU6-222P,
ENSG00000282606,44.75,AC068473.9,284241
ENSG00000282330,49.81,AC068473.8,
ENSG00000277833,48.32,KIR2DL1,3802
ENSG00000277334,50.00,NCR1,9437
ENSG00000282752,52.68,CTDP1,9150
ENSG00000280759,53.71,AP2A2,161
ENSG00000280647,50.40,AC106795.7,
ENSG00000281644,51.23,AC106795.9,
ENSG00000281954,51.26,AC208069.1,
ENSG00000280971,42.73,AC236592.1,
ENSG00000281351,50.78,SUDS3P1,
ENSG00000274382,54.55,PROP1,5626
ENSG00000281775,59.68,FTCD,10841
ENSG00000276209,48.89,KIR2DS4,3809
ENSG00000278656,47.02,KIR3DL2,3812
ENSG00000279612,41.48,AC231988.1,
ENSG00000263322,36.18,AC110597.2,
ENSG00000262102,41.51,DSEL,92126
ENSG00000281763,34.84,DHX36,170506
ENSG00000282220,38.85,AC110597.5,
ENSG00000282112,75.98,AC110597.4,643542
ENSG00000275168,42.99,U6,
ENSG00000281949,42.64,AC068473.7,
ENSG00000275671,42.99,U6,
ENSG00000275255,43.99,KIR3DP1,
ENSG00000275136,47.88,FCAR,2204
ENSG00000278606,48.07,KIR2DL4,3805
ENSG00000278476,44.24,RPL21P36,
ENSG00000279215,43.51,CRIM1-DT,
ENSG00000277642,42.99,U6,
ENSG00000281617,36.91,AC073135.6,
ENSG00000280541,61.41,FTCD-AS1,100861507
ENSG00000281870,55.08,AC208814.1,
ENSG00000277354,74.36,CRIM1,51232
ENSG00000280892,54.31,AL161638.3,
ENSG00000274679,51.49,SPATC1L,84221
ENSG00000281104,53.24,AL161638.4,
ENSG00000273546,56.23,LILRP1,
ENSG00000276994,54.23,AC245128.12,
ENSG00000273922,44.33,LILRP2,79166
ENSG00000276885,48.55,KIR2DS4,3809
ENSG00000274706,42.99,RNU6-821P,
ENSG00000262860,39.90,LSM14A,26065
ENSG00000281062,48.92,AC240720.1,
ENSG00000276086,48.86,KIR3DL3,115653
ENSG00000275629,47.06,KIR3DL2,3812
ENSG00000281503,56.52,AC240720.2,
ENSG00000281753,44.89,AP001468.2,
ENSG00000281577,57.76,AC240720.3,
ENSG00000276938,44.03,AC073135.4,
ENSG00000281289,53.38,LSS,4047
ENSG00000281496,46.92,AC073135.5,
ENSG00000281976,57.29,ADAMTS7P1,
ENSG00000282037,34.08,GXYLT1P1,
ENSG00000278747,39.42,U6,
ENSG00000275428,38.92,AC024940.6,
ENSG00000277428,38.61,Y_RNA,
ENSG00000267639,61.55,AC073135.3,
ENSG00000282611,58.53,CNN2P12,
ENSG00000282352,38.43,ZNF965P,
ENSG00000282782,52.38,CYP4F34P,
ENSG00000276256,37.57,AC011043.1,389831
ENSG00000282677,51.35,SNX18P26,
ENSG00000267237,40.44,AC073135.2,
ENSG00000278198,39.12,AC011043.2,
ENSG00000282536,52.97,LINC00328-2P,
ENSG00000282715,36.82,ANKRD20A9P,
ENSG00000274980,36.54,RNU6-1025P,
ENSG00000262453,49.86,AL022318.3,
ENSG00000278853,40.19,RNU6-55P,
ENSG00000277518,61.67,MUC6,4588
ENSG00000262536,40.00,AC192820.1,
ENSG00000252379,44.23,U6,
ENSG00000262156,55.25,APOBEC3A,200315
ENSG00000262156,55.25,APOBEC3A,100913187
ENSG00000274042,53.75,GOLGA6L10,647042
ENSG00000282734,52.07,AF067845.6,286083
ENSG00000282391,47.56,AC024940.8,
ENSG00000281953,48.82,AF067845.3,
ENSG00000281997,52.82,AC131901.1,
ENSG00000274771,42.99,U6,
ENSG00000282388,57.10,AC024940.7,
ENSG00000281464,41.52,AC106795.8,
ENSG00000278025,50.00,NCR1,9437
ENSG00000282329,51.76,MREGP1,
ENSG00000276371,41.46,SINHCAF,58516
ENSG00000282141,56.25,AC131901.2,
ENSG00000275495,45.66,AC114936.1,
ENSG00000282152,49.21,DLGAP2,9228
ENSG00000282480,45.93,AC127071.3,
ENSG00000282766,42.50,AC217627.1,
ENSG00000275637,50.00,NCR1,9437
ENSG00000282377,59.41,AC011295.3,
ENSG00000282001,41.74,DLGAP2-AS1,100507435
ENSG00000275735,48.16,GU182355.5,
ENSG00000278692,48.11,GU182355.7,
ENSG00000275486,48.46,KIR3DL1,3811
ENSG00000280737,34.69,LINC02549,101928280
ENSG00000262679,53.45,APOBEC3B-AS1,100874530
ENSG00000275049,43.75,AC011295.2,
ENSG00000278277,45.39,GU182355.6,
ENSG00000274166,47.95,GOLGA6L10,643707
ENSG00000274166,47.95,GOLGA6L10,647042
ENSG00000273498,48.10,KIR2DL4,3805
ENSG00000282649,51.04,SEPTIN9-DT,105371907
ENSG00000282753,46.40,AC068594.2,
ENSG00000279389,44.42,GARRE1,9710
ENSG00000282302,54.73,SEPTIN9,10801
ENSG00000280839,50.18,CES5AP1,
ENSG00000282507,49.62,AC236756.1,
ENSG00000282551,42.62,AC024940.9,
ENSG00000281690,40.59,ADAMTS12,81792
ENSG00000282176,65.13,FLJ13224,79857
ENSG00000282084,39.44,UBE2Q2P2,100134869
ENSG00000262113,54.62,AC010614.1,
ENSG00000277091,42.99,U6,
ENSG00000277069,63.88,RXFP3,51289
ENSG00000280784,66.52,AL121956.3,
ENSG00000281076,62.79,ZDHHC8P1,
ENSG00000280765,43.82,AL121956.2,101929297
ENSG00000281919,41.45,SLC45A2,51151
ENSG00000280557,44.12,GNG5P1,
ENSG00000280898,49.81,AC233714.1,
ENSG00000273673,41.91,AC011295.1,
ENSG00000281081,50.16,AC114936.3,
ENSG00000282814,42.00,AC010724.3,
ENSG00000281048,49.95,AC114936.2,
ENSG00000275521,50.00,NCR1,9437
ENSG00000274296,56.95,DECR2,26063
ENSG00000281567,43.51,SLC25A51P1,
ENSG00000277364,45.86,ADH5P4,
ENSG00000274320,47.51,GOLGA6L9,440295
ENSG00000278728,42.82,CNTNAP2,26047
ENSG00000281513,42.73,AC114936.4,
ENSG00000274681,50.93,SUDS3P1,
ENSG00000280618,49.00,CYFIP1,23191
ENSG00000281916,28.85,AF250324.4,
ENSG00000263270,37.91,AC093689.2,
ENSG00000276052,46.02,RNU1-51P,
ENSG00000277894,56.23,LILRP1,
ENSG00000280716,42.86,FRG1-DT,728339
ENSG00000278432,54.23,AC245128.16,
ENSG00000280635,53.75,PROP1,5626
ENSG00000273666,44.33,LILRP2,79166
ENSG00000278063,42.99,U6,
ENSG00000281830,38.88,LINC01596,105377617
ENSG00000275326,41.08,NOSTRIN,115677
ENSG00000275970,47.88,FCAR,2204
ENSG00000281151,61.54,KCNQ2,3785
ENSG00000274394,48.96,KIR3DL3,115653
ENSG00000281149,67.54,AP000344.3,
ENSG00000280986,60.01,LINC01659,101929374
ENSG00000276228,42.62,UBE2Q2P6,
ENSG00000281374,56.46,AP000344.4,
ENSG00000282457,58.55,CSPG4P10,
ENSG00000282690,51.10,AL391421.2,
ENSG00000274657,41.16,FAM230I,388882
ENSG00000276516,53.82,RN7SL284P,
ENSG00000277442,50.00,NCR1,9437
ENSG00000282770,48.35,DLG5-AS1,
ENSG00000282514,67.11,AC010724.1,
ENSG00000282183,42.86,GOLGA2P10,
ENSG00000281077,58.61,LINC02557,
ENSG00000262411,37.05,LINC02066,
ENSG00000277205,48.82,U3,
ENSG00000274906,51.30,Metazoa_SRP,
ENSG00000282044,45.45,AC083849.3,
ENSG00000281999,68.87,AC083849.2,
ENSG00000282443,41.13,AC105227.4,
ENSG00000282085,33.22,AC105227.3,
ENSG00000262132,42.02,RNA5SP458,
ENSG00000262634,39.41,SKA1,220134
ENSG00000282209,53.70,GOLGA6L17P,
ENSG00000275737,48.09,GU182347.3,
ENSG00000275351,49.07,KIR2DS4,3809
ENSG00000261846,35.43,AADACL2,344752
ENSG00000276731,48.05,GU182347.5,
ENSG00000275083,47.06,KIR3DL2,3812
ENSG00000282596,58.18,DNM1P38,
ENSG00000278481,49.21,GU182347.8,
ENSG00000275608,48.43,GU182355.4,
ENSG00000276856,43.35,TUBGCP5,114791
ENSG00000278229,49.90,RPS17,6218
ENSG00000277163,48.77,GU182347.6,
ENSG00000276279,49.19,KIR2DP1,
