Gene_stable_ID,Gene_name,Gene end (bp),Gene start (bp),Gene_length
ENSG00000276423,KIR3DL1,54817155,54802859,14296
ENSG00000275433,KIR3DL3,54736537,54726054,10483
ENSG00000262068,KRTAP3-1,41019451,41008648,10803
ENSG00000273738,FCAR,54891462,54874290,17172
ENSG00000278786,KIR3DP1,54798295,54786474,11821
ENSG00000263296,KRTAP3-2,41000021,40999320,701
ENSG00000274948,KIR3DL1,54830767,54816448,14319
ENSG00000262121,KRTAP4-9,41106907,41105751,1156
ENSG00000263130,,153768458,153764082,4376
ENSG00000263163,SLC27A3,153797388,153791585,5803
ENSG00000281935,DNAH10,123935766,123826687,109079
ENSG00000263091,KRTAP2-4,41066109,41065346,763
ENSG00000276885,KIR2DS4,54847746,54832710,15036
ENSG00000264450,,40863282,40850800,12482
ENSG00000274696,KIR3DL3,54767462,54724453,43009
ENSG00000274163,KIR3DP1,54790260,54786260,4000
ENSG00000274842,LILRP2,54713453,54707916,5537
ENSG00000263309,KRT23,40937634,40922696,14938
ENSG00000275786,KIR3DL1,54830812,54816499,14313
ENSG00000277835,KIR3DP1,54842447,54830630,11817
ENSG00000277070,LILRP1,54701106,54698377,2729
ENSG00000278427,KIR3DL1,54817184,54802842,14342
ENSG00000274406,KIR2DS4,54848284,54832654,15630
ENSG00000276676,KIR2DS5,54797195,54782658,14537
ENSG00000276985,FCAR,54961872,54945648,16224
ENSG00000277078,KIR2DS4,54878657,54863003,15654
ENSG00000277376,KIR2DP1,54812030,54799680,12350
ENSG00000275276,KIR2DL1,54783960,54769704,14256
ENSG00000276084,KIR3DL3,54736085,54724447,11638
ENSG00000276258,KIR2DS2,54752475,54738568,13907
ENSG00000275659,KIR3DL1,54878560,54814901,63659
ENSG00000275946,KIR2DL5B,54780725,54771241,9484
ENSG00000274189,KIR2DL4,54859216,54848193,11023
ENSG00000277267,LILRP2,54713453,54707916,5537
ENSG00000277982,KIR3DL2,54893917,54877123,16794
ENSG00000276534,KIR3DS1,54817200,54802839,14361
ENSG00000274120,LILRP2,54713453,54707916,5537
ENSG00000276425,KIR2DS2,54752501,54738476,14025
ENSG00000275421,KIR2DS1,54861692,54847678,14014
ENSG00000275047,KIR2DS3,54845947,54830927,15020
ENSG00000278345,,54820584,54814919,5665
ENSG00000275172,KIR3DL3,54736504,54724485,12019
ENSG00000275080,KIR2DL1,54812886,54798381,14505
ENSG00000275511,KIR3DL2,54881045,54864251,16794
ENSG00000275112,LILRP1,54700905,54700593,312
ENSG00000274518,KIR2DS2,54752638,54738519,14119
ENSG00000276013,,54812147,54799595,12552
ENSG00000277725,KIR2DL2,54769000,54754632,14368
ENSG00000274945,KIR2DL4,54859121,54848094,11027
ENSG00000274009,,54704235,54703952,283
ENSG00000274942,KIR2DP1,54766523,54754928,11595
ENSG00000274722,KIR3DL2,54853592,54836820,16772
ENSG00000278051,KIR3DP1,54790252,54786397,3855
ENSG00000278850,KIR3DL2,54866326,54849551,16775
ENSG00000273518,KIR3DL1,54830756,54816451,14305
ENSG00000275351,KIR2DS4,54848250,54832726,15524
ENSG00000274782,KIR2DL1,54784000,54769765,14235
ENSG00000275018,,64278487,64211718,66769
ENSG00000277833,KIR2DL1,54784259,54769756,14503
ENSG00000262994,,153735546,153734523,1023
ENSG00000269823,,153791310,153789602,1708
ENSG00000262710,Y_RNA,153803052,153802951,101
ENSG00000262469,Y_RNA,153743584,153743483,101
ENSG00000275035,CCDC92,123946006,123918723,27283
ENSG00000276295,Metazoa_SRP,153721625,153721328,297
ENSG00000275531,Metazoa_SRP,153700956,153700659,297
ENSG00000276035,KIR3DP1,54790261,54786406,3855
ENSG00000276001,LILRP1,54700905,54700593,312
ENSG00000277193,KIR2DS3,54845301,54830865,14436
ENSG00000277176,KIR3DP1,54842954,54831023,11931
ENSG00000275289,LILRP2,54713453,54707916,5537
ENSG00000276392,KIR2DL5A,54829001,54819505,9496
ENSG00000277650,KIR2DS3,54845777,54830903,14874
ENSG00000277964,KIR2DL4,54814487,54803571,10916
ENSG00000274851,KIR2DP1,54767325,54754976,12349
ENSG00000276329,KIR3DL1,54875478,54861173,14305
ENSG00000262845,KRT40,40987262,40977843,9419
ENSG00000276212,KIR3DP1,54784641,54771219,13422
ENSG00000273661,KIR2DL2,54769001,54754679,14322
ENSG00000273688,KIR3DP1,54790272,54786274,3998
ENSG00000273881,LILRP1,54700905,54700593,312
ENSG00000274830,KIR2DL3,54753065,54738514,14551
ENSG00000274826,LILRP2,54713453,54707916,5537
ENSG00000274271,LILRP1,54700905,54700593,312
ENSG00000276099,LILRP1,54700905,54698377,2528
ENSG00000277940,,54704235,54703952,283
ENSG00000277570,LILRP1,54700905,54700593,312
ENSG00000274676,KIR2DL5A,54828923,54819459,9464
ENSG00000273578,KIR2DL2,54768961,54754600,14361
ENSG00000276306,,54704235,54703952,283
ENSG00000278369,KIR2DL3,54753070,54738530,14540
ENSG00000274955,KIR2DL4,54814525,54803541,10984
ENSG00000276004,KIR3DL2,54867064,54850300,16764
ENSG00000275699,KIR2DL4,54814517,54803535,10982
ENSG00000276498,KIR3DS1,54817417,54802804,14613
ENSG00000262808,KRTAP1-1,41041586,41040684,902
ENSG00000262731,,41055489,41054623,866
ENSG00000274707,KIR2DL5B,54764695,54755098,9597
ENSG00000274193,KIR2DL4,54800891,54789815,11076
ENSG00000263229,KRTAP4-11,41118842,41117663,1179
ENSG00000262487,,40976053,40921430,54623
ENSG00000262376,KRTAP2-5P,41072573,41072178,395
ENSG00000262347,KRTAP1-3,41034982,41034011,971
ENSG00000262520,KRTAP4-16,41102628,41101921,707
ENSG00000275008,KIR2DL3,54752516,54738018,14498
ENSG00000263243,KRT12,40867210,40861303,5907
ENSG00000281954,,123935036,123927107,7929
ENSG00000275599,KIR2DS3,54858409,54843950,14459
ENSG00000274402,KIR2DL3,54752989,54738465,14524
ENSG00000261862,KRTAP1-5,41027329,41026153,1176
ENSG00000262164,KRT39,40967019,40958544,8475
ENSG00000276247,LILRP2,54713453,54707916,5537
ENSG00000274283,KIR3DS1,54830525,54815911,14614
ENSG00000275255,KIR3DP1,54798222,54786292,11930
ENSG00000273528,LILRP2,54713453,54707916,5537
ENSG00000276086,KIR3DL3,54736671,54724481,12190
ENSG00000274243,KIR2DS5,54797414,54782617,14797
ENSG00000275521,NCR1,54910036,54906121,3915
ENSG00000275486,KIR3DL1,54830746,54816441,14305
ENSG00000278414,KIR2DL5B,54780682,54771198,9484
ENSG00000278474,KIR3DL2,54897308,54880532,16776
ENSG00000273502,KIR3DL3,54736594,54724478,12116
ENSG00000262616,KRTAP3-4P,41004887,41004608,279
ENSG00000261852,KRTAP2-1,41047441,41046666,775
ENSG00000276590,KIR2DL3,54752881,54738496,14385
ENSG00000274480,KIR3DL3,54736514,54724486,12028
ENSG00000263101,KRTAP3-3,40994260,40993557,703
ENSG00000275750,KIR2DL1,54783961,54769705,14256
ENSG00000278710,KIR3DL2,54867186,54850408,16778
ENSG00000262862,KRTAP2-3,41060344,41059470,874
ENSG00000263236,KRTAP4-12,41124635,41123559,1076
ENSG00000263242,KRTAP1-4,41030231,41029824,407
ENSG00000266286,,41085542,41084386,1156
ENSG00000261968,KRTAP4-8,41098544,41097371,1173
ENSG00000274724,KIR3DL3,54736134,54724448,11686
ENSG00000273603,KIR2DS1,54862123,54847887,14236
ENSG00000275596,KIR2DL5A,54828970,54819506,9464
ENSG00000278360,,54704235,54703952,283
ENSG00000276139,KIR2DS2,54752721,54738560,14161
ENSG00000273922,LILRP2,54713453,54707916,5537
ENSG00000274788,LILRP2,54713341,54709037,4304
ENSG00000276806,KIR3DL3,54736522,54724507,12015
ENSG00000281738,LINC01839,184513434,184510148,3286
ENSG00000281250,LINC02054,184444693,184426592,18101
ENSG00000275452,KIR2DS2,54769226,54738501,30725
ENSG00000275608,KIR3DS1,54817473,54802886,14587
ENSG00000276218,KIR2DL3,54752990,54738484,14506
ENSG00000277362,KIR2DL4,54814482,54803533,10949
ENSG00000278442,KIR3DL2,54867200,54850442,16758
ENSG00000278758,KIR3DL2,54880809,54864015,16794
ENSG00000275253,KIR2DS2,54752702,54738498,14204
ENSG00000275626,KIR3DL2,54852194,54835435,16759
ENSG00000274146,KIR3DL1,54817199,54802891,14308
ENSG00000277742,KIR3DP1,54790318,54786355,3963
ENSG00000282469,LINC00254,1886269,1880310,5959
ENSG00000275938,KIR2DS4,54848078,54832765,15313
ENSG00000276333,HS3ST6,1920464,1913487,6977
ENSG00000277963,LILRP2,54713453,54707916,5537
ENSG00000278339,KIR2DP1,54767369,54755024,12345
ENSG00000277317,KIR2DL3,54752764,54738506,14258
ENSG00000282650,MEIOB,1886319,1874025,12294
ENSG00000276974,,54704235,54703952,283
ENSG00000278325,LILRP1,54700905,54700593,312
ENSG00000278079,KIR3DL1,54830813,54816470,14343
ENSG00000276930,KIR3DL3,54736536,54724479,12057
ENSG00000282069,LINC02124,1892455,1891136,1319
ENSG00000274556,KIR3DL3,54736132,54724447,11685
ENSG00000277551,U6,54913762,54913656,106
ENSG00000275795,,54811528,54799171,12357
ENSG00000275937,KIR2DL5B,54780252,54770973,9279
ENSG00000277885,KIR2DS2,54752150,54738243,13907
ENSG00000275083,KIR3DL2,54867200,54850406,16794
ENSG00000276011,KIR2DL2,54768727,54754397,14330
ENSG00000277552,KIR3DL3,54736221,54724203,12018
ENSG00000275815,KIR2DP1,54767346,54754998,12348
ENSG00000278327,KIR2DL3,54753027,54738499,14528
ENSG00000273517,KIR2DS1,54861881,54847867,14014
ENSG00000275136,FCAR,54890481,54874257,16224
ENSG00000277596,KIR3DL3,54736462,54727609,8853
ENSG00000275262,KIR3DL2,54867215,54850443,16772
ENSG00000275059,,54795926,54783578,12348
ENSG00000273887,KIR2DL3,54753050,54738479,14571
ENSG00000277271,LILRP2,54712937,54707923,5014
ENSG00000274563,KIR2DS5,54781397,54766539,14858
ENSG00000276450,NCR1,54909244,54905329,3915
ENSG00000275247,,54766832,54754487,12345
ENSG00000276552,U6,54899138,54899032,106
ENSG00000277729,,54797435,54785929,11506
ENSG00000278304,KIR2DS1,54875253,54860710,14543
ENSG00000274106,,20853768,20844829,8939
ENSG00000275970,FCAR,54889651,54873427,16224
ENSG00000275288,KIR3DL1,54830737,54816438,14299
ENSG00000277976,KRT18P40,20971556,20967473,4083
ENSG00000279974,,20989626,20978678,10948
ENSG00000278329,KIR2DP1,54767306,54754958,12348
ENSG00000273794,KIR2DL1,54784337,54769825,14512
ENSG00000278780,ZNF430,21043218,21027036,16182
ENSG00000282429,,51688210,51687527,683
ENSG00000274108,KIR2DL3,54752986,54738481,14505
ENSG00000276686,KIR2DL5A,54842109,54832558,9551
ENSG00000277356,KIR2DL1,54783981,54769746,14235
ENSG00000281486,SNTG2,1269668,1209102,60566
ENSG00000280271,,21803339,21778251,25088
ENSG00000279566,ZNF43,21818511,21814429,4082
ENSG00000278201,KIR2DL4,54813989,54802913,11076
ENSG00000274912,KIR2DP1,54767305,54754924,12381
ENSG00000279614,,21810673,21809967,706
ENSG00000276395,KIR2DS4,54847510,54832694,14816
ENSG00000274746,ZNF100,21777028,21732245,44783
ENSG00000282534,IMPDH1P5,77781876,77780337,1539
ENSG00000280830,ADI1,3502360,3498728,3632
ENSG00000274429,DLG5,77926526,77790791,135735
ENSG00000280579,,144641637,144627218,14419
ENSG00000276310,KIR2DL1,54784069,54769748,14321
ENSG00000274891,TRAPPC12,3486461,3401777,84684
ENSG00000278025,NCR1,54981465,54977550,3915
ENSG00000280708,,144568743,144567601,1142
ENSG00000281416,,144568027,144561389,6638
ENSG00000275974,PPIAL4F,144593524,144592865,659
ENSG00000280460,,144669313,144660404,8909
ENSG00000274786,KIR3DL3,54736098,54724451,11647
ENSG00000274449,,20822244,20815244,7000
ENSG00000279280,CCNYL6,21719670,21719001,669
ENSG00000274708,U6,54882639,54882533,106
ENSG00000279318,,20935130,20933201,1929
ENSG00000274574,U1,144560831,144560668,163
ENSG00000276999,,21656539,21655154,1385
ENSG00000273990,RNVU1-26,144524021,144523860,161
ENSG00000273757,RNVU1-2A,144551943,144551779,164
ENSG00000279112,BRI3BPP1,21762917,21760226,2691
ENSG00000278091,ZNF85,20957113,20929638,27475
ENSG00000280218,VN1R84P,21729514,21729280,234
ENSG00000280066,MTDHP4,21687706,21687036,670
ENSG00000280770,,3427885,3427276,609
ENSG00000281723,,3498795,3498320,475
ENSG00000274465,KIR3DS1,54875223,54860636,14587
ENSG00000274610,KIR3DP1,54784662,54771258,13404
ENSG00000277750,KIR2DL4,54814476,54803572,10904
ENSG00000278271,KIR2DL4,54800920,54789822,11098
ENSG00000278755,KIR2DL1,54784135,54769814,14321
ENSG00000275051,PIWIL1,130372618,130337887,34731
ENSG00000275269,FCAR,54876850,54860626,16224
ENSG00000276808,,54704235,54703952,283
ENSG00000278190,U6,54868156,54868050,106
ENSG00000273498,KIR2DL4,54800938,54789862,11076
ENSG00000276324,,54704235,54703952,283
ENSG00000277240,LILRP1,54700905,54700593,312
ENSG00000273955,KIR2DP1,54767361,54754987,12374
ENSG00000274947,KIR2DS4,54848283,54832654,15629
ENSG00000277153,RNU6-222P,54869045,54868939,106
ENSG00000281020,SNTG2,1365970,1316265,49705
ENSG00000275021,U6,54868902,54868796,106
ENSG00000276243,LILRP2,54713453,54707916,5537
ENSG00000262647,OR9G4,56754885,56753901,984
ENSG00000281107,OR5G3,56831590,56830655,935
ENSG00000262268,OR9G3P,56752170,56751253,917
ENSG00000281313,OR5G1P,56787280,56786335,945
ENSG00000274082,,54704235,54703952,283
ENSG00000275168,U6,54869030,54868924,106
ENSG00000281279,OR5G4P,56802039,56801280,759
ENSG00000275321,,20696533,20674923,21610
ENSG00000262535,OR5G5P,56831496,56812930,18566
ENSG00000280428,BNIP3P24,20785152,20784596,556
ENSG00000280030,,20755250,20746923,8327
ENSG00000275050,ZNF66,20807420,20776304,31116
ENSG00000281777,OR9G2P,56762976,56762097,879
ENSG00000277630,,139659,108007,31652
ENSG00000261958,OR9G1,56701303,56700386,917
ENSG00000281683,,56747536,56747390,146
ENSG00000262191,OR9G9,56712383,56711466,917
ENSG00000281839,LINC02735,56882325,56859642,22683
ENSG00000276197,,105376,105287,89
ENSG00000274917,RNA5-8SN5,112177,112025,152
ENSG00000273730,5_8S_rRNA,156149,155997,152
ENSG00000274545,LILRP1,54700905,54700593,312
ENSG00000273522,KIR2DP1,54767371,54755023,12348
ENSG00000273937,,149348,149259,89
ENSG00000278490,KIR3DL3,54736547,54724454,12093
ENSG00000278726,KIR3DL2,54867235,54850439,16796
ENSG00000277603,TPO,1540021,1372594,167427
ENSG00000267728,KRTAP9-9,41256311,41255319,992
ENSG00000263090,KRTAP9-2,41227652,41226648,1004
ENSG00000278573,,60316,59711,605
ENSG00000277560,KIR3DP1,54790318,54786463,3855
ENSG00000276465,KIR2DS4,54848263,54832686,15577
ENSG00000275416,KIR3DL2,54867258,54850500,16758
ENSG00000278625,U6,51114,51009,105
ENSG00000277196,,161852,138082,23770
ENSG00000277392,KIR3DL3,54736494,54724479,12015
ENSG00000278230,U6,54895747,54895641,106
ENSG00000276512,LILRP2,54713335,54707913,5422
ENSG00000262512,KRTAP9-4,41250585,41249619,966
ENSG00000262749,KRTAP9-3,41233453,41232462,991
ENSG00000281651,KCNQ2-AS1,63450451,63449173,1278
ENSG00000263103,KRTAP9-10P,41270488,41270282,206
ENSG00000274254,KIR3DL3,54736626,54724478,12148
ENSG00000281151,KCNQ2,63466150,63414903,51247
ENSG00000267635,,41265882,41265358,524
ENSG00000267208,,41238465,41238001,464
ENSG00000262218,KRTAP29-1,41292529,41291504,1025
ENSG00000278793,U6,127946,127840,106
ENSG00000276882,KIR3DL2,54938615,54921821,16794
ENSG00000262573,KRTAP9-2,41227631,41226627,1004
ENSG00000263115,KRTAP9-10P,41269440,41269234,206
ENSG00000262896,KRTAP9-4,41239283,41238317,966
ENSG00000263263,KRTAP9-6,41255271,41253969,1302
ENSG00000278833,,54798259,54786437,11822
ENSG00000275629,KIR3DL2,54866390,54849620,16770
ENSG00000262221,KRTAP9-7,41265327,41264289,1038
ENSG00000277850,KIR2DL4,54814521,54803411,11110
ENSG00000277076,KIR2DL4,54800933,54789863,11070
ENSG00000262542,KRTAP29-1,41291481,41290456,1025
ENSG00000262214,KRTAP9-12P,41213241,41212710,531
ENSG00000262946,KRTAP9-11P,41260465,41259941,524
ENSG00000262594,KRTAP9-9,41244994,41244014,980
ENSG00000278277,,54784697,54771294,13403
ENSG00000281062,,198108214,198106449,1765
ENSG00000276994,,54704235,54703952,283
ENSG00000278692,KIR2DL2,54769262,54754729,14533
ENSG00000278817,,137392,131494,5898
ENSG00000281775,FTCD,46155567,46142109,13458
ENSG00000275735,KIR2DS2,54752855,54738547,14308
ENSG00000273546,LILRP1,54700905,54700593,312
ENSG00000281496,,198186438,198177148,9290
ENSG00000275782,U6,54882875,54882769,106
ENSG00000278368,KIR3DL1,54830744,54816432,14312
ENSG00000281617,ANKRD18DP,198080720,198053522,27198
ENSG00000276017,,74814,72411,2403
ENSG00000274971,,54784657,54771253,13404
ENSG00000275731,KIR2DS4,54833565,54819083,14482
ENSG00000282329,MREGP1,31256718,31256634,84
ENSG00000273929,U6,54869065,54868959,106
ENSG00000275428,,31208427,31111652,96775
ENSG00000276938,,198166452,198148759,17693
ENSG00000267237,,198224769,198224587,182
ENSG00000281577,,198119668,198117723,1945
ENSG00000267639,,198222703,198219890,2813
ENSG00000281503,,198117113,198116056,1057
ENSG00000274706,RNU6-821P,198071417,198071311,106
ENSG00000278747,U6,198193242,198193139,103
ENSG00000282391,,31246958,31246713,245
ENSG00000276371,SINHCAF,31329331,31282857,46474
ENSG00000282377,,82395723,82380817,14906
ENSG00000275422,,54834726,54830833,3893
ENSG00000282606,,79685499,79644682,40817
ENSG00000275914,KIR2DL2,54769187,54754693,14494
ENSG00000281351,SUDS3P1,177972279,177971313,966
ENSG00000281949,,79709405,79708475,930
ENSG00000280559,,177871194,177870853,341
ENSG00000282330,,79685112,79683041,2071
ENSG00000282103,DLGAP2,824587,737651,86936
ENSG00000281753,,46191252,46187390,3862
ENSG00000280541,FTCD-AS1,46152647,46151614,1033
ENSG00000277185,,54811769,54799454,12315
ENSG00000281995,,79612198,79610642,1556
ENSG00000276459,KIR2DL3,54753028,54738512,14516
ENSG00000281289,LSS,46221883,46190452,31431
ENSG00000280647,,177983334,177939622,43712
ENSG00000278788,SBNO2,1156979,1107635,49344
ENSG00000281942,,79589010,79576460,12550
ENSG00000278207,KIR2DL1,54828734,54814235,14499
ENSG00000274382,PROP1,177996421,177992545,3876
ENSG00000282752,CTDP1,79723770,79685555,38215
ENSG00000282347,,725877,725188,689
ENSG00000278229,RPS17,82619653,82615842,3811
ENSG00000278248,KIR2DL1,54784302,54769801,14501
ENSG00000282245,,740374,738548,1826
ENSG00000282665,ERICH1,738106,731140,6966
ENSG00000281644,,177963960,177950335,13625
ENSG00000282480,,130351707,130350996,711
ENSG00000282766,,130384179,130383653,526
ENSG00000278666,,177950732,177875522,75210
ENSG00000275517,PRB1,11356402,11351822,4580
ENSG00000278116,KIR2DL5A,54886807,54877311,9496
ENSG00000275637,NCR1,54910107,54906192,3915
ENSG00000275500,,54903107,54888671,14436
ENSG00000276327,KIR2DS1,54919948,54905478,14470
ENSG00000274597,U6,54940445,54940339,106
ENSG00000279389,GARRE1,34308123,34261710,46413
ENSG00000281914,,63424555,63422269,2286
ENSG00000275848,KIR2DL4,54858928,54848033,10895
ENSG00000277028,KIR3DL3,54736500,54724486,12014
ENSG00000278140,U6,54869088,54868982,106
ENSG00000262860,LSM14A,34229322,34172447,56875
ENSG00000281232,,1344763,1340838,3925
ENSG00000274166,GOLGA6L10,82428498,82418974,9524
ENSG00000281104,,30426225,30420942,5283
ENSG00000281870,,30413531,30406695,6836
ENSG00000280892,,30416755,30414392,2363
ENSG00000282233,,77793176,77782866,10310
ENSG00000280971,,177967457,177967004,453
ENSG00000282352,ZNF965P,18734896,18734080,816
ENSG00000282770,DLG5-AS1,77929824,77927372,2452
ENSG00000282037,GXYLT1P1,18724904,18724415,489
ENSG00000282690,,77869610,77866875,2735
ENSG00000282782,CYP4F34P,18742718,18741730,988
ENSG00000282611,CNN2P12,18727414,18726706,708
ENSG00000263322,,67554415,67551243,3172
ENSG00000275353,KIR2DS4,54848599,54832684,15915
ENSG00000276516,RN7SL284P,77912545,77912271,274
ENSG00000276274,RNU6-1266P,77777055,77776951,104
ENSG00000276357,KIR3DL2,54867233,54850475,16758
ENSG00000282677,SNX18P26,18808018,18807279,739
ENSG00000282112,DSEL-AS1,67586198,67585995,203
ENSG00000282536,LINC00328-2P,18810048,18809830,218
ENSG00000282715,ANKRD20A9P,18880683,18816718,63965
ENSG00000262102,DSEL,67586429,67576031,10398
ENSG00000278853,RNU6-55P,18869291,18869185,106
ENSG00000282596,DNM1P38,82613228,82610742,2486
ENSG00000252379,U6,18886053,18885950,103
ENSG00000277442,NCR1,54910074,54906159,3915
ENSG00000282220,,67583479,67576038,7441
ENSG00000282388,,31254870,31254265,605
ENSG00000282551,,31314302,31313890,412
ENSG00000279612,,67458554,67457499,1055
ENSG00000282176,FLJ13224,31328102,31326589,1513
ENSG00000278809,KIR3DL2,54867216,54850485,16731
ENSG00000277445,CPEB1,82720771,82622289,98482
ENSG00000278495,KIR2DL1,54784323,54769810,14513
ENSG00000277354,CRIM1,36362656,36361959,697
ENSG00000262113,,34303913,34303449,464
ENSG00000273752,U6,54855422,54855316,106
ENSG00000278476,RPL21P36,36299830,36299388,442
ENSG00000279215,CRIM1-DT,36361147,36360778,369
ENSG00000282734,,1302607,1296034,6573
ENSG00000274679,SPATC1L,46186787,46161526,25261
ENSG00000281997,,1381062,1373685,7377
ENSG00000282141,,1379973,1377533,2440
ENSG00000282001,DLGAP2-AS1,1552054,1551825,229
ENSG00000282152,DLGAP2,1552210,1487682,64528
ENSG00000281919,SLC45A2,33956490,33946602,9888
ENSG00000281953,,1369833,1368648,1185
ENSG00000263270,,34669432,34657606,11826
ENSG00000280500,ELMO2P1,23124800,23086215,38585
